ID,name,latitude,longitude,mean_checkin_time,review,category
1457,Splendid Pig,29.9377782399,-90.0814288219,17.0,"Experienced the Splendid Pig pop-up on a trip to NOLA with some family. The appropriate word is wonderful. Fairly prompt service, a creative menu, and deliciousness in the foods quality. Definitely would recommend to anyone either passing through the area or locals who want to experience the best of New Orleans cuisine.",Restaurants
3526,Subway,29.932236,-90.004271,18.0,"Ok, not a great location. But - The girl behind the counter actually listened to what I was asking for and got four out of four Sandwiches exactly right. Sadly, this is not always the case in any fast food. Plus, the place was surprisingly clean - not like hospital clean, but cleaner than 95% of other fast food places I've been in. The employee was friendly and courteous which, again, is more and more uncommon these days.",Restaurants
1891,Firehouse Subs,29.9208349,-90.012189,18.0,Soooo excited for this location and it did not disappoint! It was FIRE lol!!! The sandwiches had amazing flavor. They used just the right amount of condiments so they were not soggy at all. The service was also prompt and everyone seemed to have a great attitude. I will 100% be going back soon.,Restaurants
3384,Port Orleans Brewing,29.917004499999997,-90.0982725,19.0,"Just opened but feels like a hit. Big open space with lists of communal seating, German flair. Big porch with fans is a plus.   Tried a patty melt, delicious. Apps were like these pretzel bits with cheese sauce and another was fried cheese bites with ham and red sauce. Both were good, though the cheese bites were definitely different probably something German people are down with.   Had the zwickle and also the brown ale for beers. The brown one was super chocolatey which was interesting. Great addition to the hood, especially with Tips right by.",Nightlife
1297,New Orleans Cake Café & Bakery,29.9637519656,-90.0529637817,16.0,In love with this hole in the wall. Def must get some of the biscuits. They're huge!!!,Restaurants
82,Zimmer's Seafood,30.0083429,-90.06444029999999,18.0,"If you're ever in the mood for an affordable and tasty Po'Boy in the Gentilly area, make sure you stop at Zimmers. I spent a lot of time working in the Gentilly area/Upper 9th ward and used to stop into Zimmers pretty frequently. It's a charming family owned and operated spot that is usually jam packed during the lunch rush. If you're in a rush, it would definitely behoove you to order ahead so you don't spend your entire lunch break waiting in line. The staff is always very friendly and personable so sometimes, you actually forget how long you were waiting in line. Their marinated crab legs/claws are wonderful but for me, their true standout is the crab cake patty po'boy. I truly feel like it's the best seafood po'boy in town! It's incredibly filling (it has 3-4 crab cake patties) and will only run you about 12 bucks.    Although I only have rave reviews about Zimmers, I am only going to give it 4 stars because of their hours. They are closed Sundays and Mondays and usually close at 6 so if you work a traditional M-F 9-5 you may not really have a chance to experience the magic of Zimmers, as you should.",Restaurants
1184,Magazine Discount Market,29.9306515,-90.0746463,18.0,This was the most disgusting place I've ever walked into. Got over charged very bad and the lady working there was really rude. Don't go in here unless your desperate.,Restaurants
1010,The Daily Beet,29.923227,-90.0878542,18.0,"From a stand in St Roch to a corner shop downtown, The Daily Beet has now expanded Uptown, with a sunny new location and a slightly different menu. It's a sort of counterculture in New Orleans in that it offers healthy food that might be best described as ""flexitarian""; not 100% vegetarian but you can pretty much certainly eat there regardless of your diet. They don't have anything fried, and most of it is based around fruits, vegetables, and whole grains. And most importantly, it's delicious.  Among my few sources of disappointment were my discovery that despite the fact that their breakfast is offered ""all day"", the thing I really wanted to order, pancakes, is only offered until 2:00, which is not all day. However, there was plenty else on the menu to try, and my ""chimi chimi"" bowl yielded a hearty quinoa-based salad with avocado and feta and pumpkin seeds. Plenty of substance. I also went for an almond-based smoothie. It took a while, and frankly they seemed a bit confused on the service end, but it delivered the full mix of sweet and nutty flavors I'd hoped for when it arrived.  The food is eclectic and not overly specific to New Orleans or any other culture, but frankly this place strikes me as the way I should be eating. The main reason I don't visit the other Daily Beets more is that the locations aren't that convenient to me, despite them being open seven days and for generous hours. This new shop is larger and easier to park near, and while it may stand out from the New Orleans food scene as compared to other areas where this sort of food is more common, I think I'd visit it again if it were anywhere in the world.",Restaurants
878,Fiorella's Cafe,29.960362699999997,-90.0591119,17.0,"Fried chicken was good, but service is slow and the cleanliness and atmosphere are mediocre at best. Conclusion: there are many other restaurants to visit in New Orleans, so unless you're craving fried chicken, go somewhere else.",Restaurants
2344,Coquette,29.9260125,-90.08253540000001,4.0,"Bread, special bread basket & fried Soft shell crab spectacular!  Duck and scallops also great.  Soft shell crab extremely ever so lightly breaded making the crab taste dominate!  Some may think portions are small (for the price) but we thought they were just right.  Had both brunch ($30 for 3 courses) and dinner there.",Restaurants
112,Maple Street Patisserie,29.941624199999996,-90.12951340000001,16.0,"Yes! I love this place! Maple Street Patisserie is the bomb.com! I've never been disappointed. Best blueberry muffin I've ever had in my whole entire life. Delicious breakfast and lunch spot. They also do specialty cakes so swing by during Mardi Gras and grab a king cake. Also the owner, Ziggy, is the man. He's always running around working crazy hours to make all these scrumptious baked goods. Can't beat this place :)",Restaurants
2868,Mahalia Jackson Theater For The Performing Arts,29.963146604400002,-90.06940390959998,2.0,"Drinks are expensive. But parking was easy and seats were comfortable. I saw Bianca Del Rio, and that show was great.",Nightlife
1905,The Frenchmen Hotel,29.9621842,-90.0573255,14.5,"I started staying at the Frenchmen in the mid-80's through mid 1990's and just returned.  The only thing that has really changed is the neighborhood.  Use to be just The Frenchmen, Checkpoint Charlies & Snug Harbor in this area.  Now it's THE place to be for live music & the great location.  This room was bigger than any I have stayed in there, with a king bed & balcony overlooking Frenchmen Street.  If you are a light sleeper, this could be a problem, with bars open until 2am or later, a fire station right across the street and lots of traffic all day & night.  The king bed had nice linens & the matress was very comfy.  This room had a tub, which I don't think all of their rooms do.  The staff is friendly & helpful.  The Continental breakfast is not much, except for the good granola.  Otherwise, we passed on their breakfast for better options in the Quarter.  Can't beat the location.  We bought a day-pass on the bus/trolley system for $5.  This allowed us to take the Riverfront Trolley to the Canal Street Line to the St. Charles Avenue line...definitely saved us some money.  Parking $15 a day in the Frenchmen's parking courtyard unless you reserve on BookIt, then it's free (although rates may or may not be higher).  This is my preferred home base in NOLA based on location, simple charm, great people-watching & friendly staff.",Shopping
1103,Mushroom New Orleans,29.941189,-90.123526,4.0,"This is one of the last cool music CD and record stores around NOLA and they probably have one of the larger selections of any of the few remaining stores.  On a recent visit they actually didn't have the music I was looking for but that's a rare occurrence that has only happend this once.  They also have a selection of used music for sale along with t-shirts, posters, hippy smoking junk and lots of other knick knacks.",Shopping
1669,Bayou Beer Garden,29.971961699999998,-90.0915894,16.0,"Cheap beer, great crawfish, plenty of beautiful outdoor seating. What more do you need? On the weekend, or Saints gamedays, make sure to get there early for a seat!",Nightlife
2470,Billy Reid,29.921411699999997,-90.09590659999999,18.0,"My favorite clothing store and designer for the past 6 years.  You can go online to view the clothes so this review is specifically for the store and team in NOLA.   I've enjoyed going to this store since its opening. I'm always greeted with a welcome as soon as I walk in the door, along with some wonderful tunes playing in the background.   The front of the store is laid out to allow you to view clothes under the natural light from the windows. I appreciate this detail because colors can look COMPLETELY different outside than indoors. Take a few steps up and you'll see an elongated wooden table with complimented benches to display all their seasonal goodies (shirts, jeans, shoes, bow ties, etc). The back of the store houses a BEAUTIFUL bar/register (marble counter?) and a big ol' mirror that worth taking a minutes to observe.   The entire store is covered in unique paintings and portraits as well as fresh floral arrangements . Take a look up while you're shopping to enjoy them.   Side note....ask to check out the kitchen. Y'all have to love the butcher block and oven range!  Amazing store and team! See y'all soon!",Shopping
1886,Big Fisherman Seafood,29.9236050603,-90.0879121817,19.0,Tasty boiled seafood..but EXPENSIVE..I got six boiled shrimp for $9.25.. not returning! $14.99 a pound is ridiculous!,Shopping
1392,Juicy Lucy's,29.9753834,-90.1002057,17.0,"Id honestly rather eat frostop burgers. Unique menu and polite servers, but slow service and cold fries. Not BAD burgers by any means, just didn't blow my mind.",Restaurants
2102,Fahy's Irish Pub,29.958928000000004,-90.06815300000001,7.0,"Cozy neighborhood dive in the Quarter.  The regulars are generally on the upper-end of quarter dwellers, friendly and interesting and not goth wannabes.  If the rest of downtown is either annoying or filled, you can go here to relax.  Good pool table and juke.",Nightlife
58,Katie's Restaurant & Bar,29.973094300000003,-90.09591440000001,17.0,"It seems to me that whenever we have out of towner guests, our go to place is consistently Katie's. The variety of food wonderfully prepared is 2nd to none. Reasonably priced and delicious, Katie's never disappoints. Whether you choose the grilled ersters, the shrimp and grits, the Cuban sandwich, pizza, or soup & salad you will be very pleased and have a great meal. Daily specials hi-lite local seasonal offerings that keep things fresh. The service staff are warm and friendly. On Sunday's, you will want to time your arrival before church let's out or you will have a bit of a wait. That said, you can always manage while enjoying bottomless Mimosas!",Restaurants
3335,Cane and Table,29.960287800000003,-90.0596414,4.0,"Cane and Table represents a trend in bars that has run its course. It may be newish to New Orleans, bartenders taking ten minutes to make a drink to which they add tiny drops of special flavorings, but this has been going on in other cities for quite some time. The general consensus has become that it should never take more than a couple minutes to make a Cuba Libre - even if you have a handlebar mustache and are wearing suspenders while doing it. The two stars here is for the pellet ice that does make up the majority of the cocktail. Good stuff. Didn't try the food and was not impressed by what I saw on the menu. And seriously, a .90 cent additional charge for all drinks made with lime juice because of what is going in in Mexico, that is called the cost of doing business people. When you are already charging $12 a drink, I think you can assume your temporary extra lime cost.",Restaurants
1919,Mid-City Yacht Club,29.975244146599998,-90.1097293605,6.0,"This is my favorite bar in New Orleans. Unpretentious neighborhood bar with a nice patio and a delicious menu. The beer selection is good and they feature many of the local brews. The cocktail menu is definitely unique and ranges from stiff to fruity to sweet. They have a big screen and multiple smaller tvs to catch the game on and the bartenders are attentive and friendly. If I owned a bar, I'd like it to have the same vibe as MCYC. My husband and I enjoyed it so much that we both bought a t-shirt!",Restaurants
3064,The Hangar,29.9550033,-90.1048,3.0,Rendon Inn has turned an old corrugated aluminum hangar into an indoor music venue with nice A/C and great sound.  Drinks are cheap.  Go for a show anytime.,Nightlife
461,Stiletto's,29.955990500000002,-90.06819870000001,7.0,"These girls work hard for the money! The pole dancing routine I witnessed was better than anything I've ever seen live, including Vegas. Two girls stacked, twirling expertly - just an amazing amount of athleticism and artistry. The dj SUCKS, however; during a 15 minute routine, he never once reminded the crowd to take care of the performers. We were the only people tipping in the whole place... the girls deserved better.",Nightlife
1325,French Quarter Grill,29.959478000000004,-90.061063,3.5,"I couldn't figure out whether to add this review under Mississippi River Bottoms bar because it's located at the same address.  It's run independently, though; or so I was told.  French Quarter Grill is only reachable by walking through MRB bar and into the courtyard.   According to the gentleman who took my order, FQG is run separately even though it's only accessible via the bar.  Weird.  To further highlight that,  I was told I would need to get my own drink at the bar, pay for it there, and then bring it into the courtyard where I could then give them my food order and pay for it separately.    Aside from being a little confusing for a novice visitor (like me), I like this place.  I liked the bar, too, it was dive-y and down to earth, although I didn't spend any real time in it.  The courtyard is pretty small, shaded in parts, with only a few tables available.   The food is okay, reasonably priced, and served quickly.  The owner's three-legged dog kept me company for a few moments, staring at me while I ate my crawfish, but I was advised not to feed him table scraps as in true dog fashion, he would start sitting at the table with everyone eating outside.  They didn't want him to start that habit.    I enjoyed this place.  I'd definitely come back here in lieu of the nearby busier tourist traps.   French Quarter Grill is a cash only place, so come prepared.",Restaurants
2672,Crêpes à la Cart,29.941128999999997,-90.12344,6.0,The crepe was good the service was not. I was on vacation visiting from California for a few days and every restaurant we went to the staff was friendly and polite. Unfortunately I can't say the same thing about this place the cashier wasn't welcoming at all and it took a long time just to get one crepe.,Restaurants
611,Square One,29.9502652571,-90.0710580258,16.0,I don't know what kind of Chinese regional flair this is but I just wonder if they would feed their family this food? I had to throw the box away. I was not even going to try to eat the left overs. I'd rather eat my own arm.  I'm trying to get rid of the foul after taste of the fried rice with Listerine shots. Nice people but why is there not any good Chinese places here?,Restaurants
1022,Powdered Sugar,29.954944674,-90.07018193459999,15.0,"Nice coffee shop/lunch plate neatly tucked into the Hyatt French Quarter Hotel. The coffee is excellent- even though it's not chicory laden.  Seating is comfortable and nicely spread out.  In addition to breakfast, we had a mid afternoon brunch of a very nicely prepared and presented turkey sandwich.  You order at the counter and the food is brought to you by a waiter.",Restaurants
2074,Captain Sal's Seafood,29.929901,-90.09263,20.0,"My neighborhood boiled seafood fix!   I can't speak for the sandwiches or fries or anything that isn't boiled crawfish, shrimp, or crabs. But seriously, y'all, that's enough to give this place 4 stars.   This place is probably equidistance from my house to Big Fisherman, but I usually choose Captain Sal's for my routine boiled crawfish fix (at least once a week, once the season kicks into high gear). Why? Because the crawfish aren't as SALTY as they are at BF, and because the lady who runs the operation at Captain Sal's is ADORABLE and always fishes out the biggest crawfish in the batch to toss into the bag for me. You don't always want to eat the biggest crawfish (good way to break a fingernail, y'all), but the sentiment is nice. :-)  I just realized this review reads as though Brittney Spears had a vocabulary lesson: ""You taste like paaaradise, and I need a vacation tonight! So if I said I want your crawfish now . . . would you hold it against me?""",Restaurants
2083,Eat New Orleans,29.960825399999997,-90.0652429,16.0,"Very good food and service. A small place but the food was as good as you get. Off the beaten path, but should be on your radar for quality and tasty food. Only downside,  the bathroom was broken. Time to call the plumber.",Restaurants
2611,Ye Olde Original Dungeon,29.957504999999998,-90.0659114,5.0,"Read the other reviews and check it out for yourself but I think this place is something everbody should experience once, at least, in your lifetime.",Nightlife
650,TJ Maxx,29.9419880767,-90.0950742686,19.0,"I previously gave this store one lonely star, I've decided to give it two because I found some awesome candles at a great price. I originally went here looking for pillows and I have to say the selection remains terribly underwhelming. I went back because stores like this usually get new stuff pretty regularly so my search continues.   They do however have a nice, although very small (just an end cap) of candles, which is one of the few redeeming qualities of this tiny TJ Maxx, probably the smallest TJ's I've ever seen.   I only looked in the housewares section, the clearance isle had a strange collection of items, including a broken ceramic platter, several broken plates, and a cracked vase, all of which they were clearly still attempting to sell. What's with that?",Shopping
1927,Seed,29.9685778,-90.0523824,17.0,"Vegan and vegetarian options can be hard to find in New Orleans and the fact Seed is 100% I know I can come here and chow. I had been to their original location a few times and enjoyed it and was excited when they opened a second location walking distance from my pad. The service was great... friendly and nice and very informative about the dishes. I will say some of the dishes are heavier than I would expect not necessarily in a bad way but think they could use a little bit a balance with some more fresh vegetable filled dishes. All in all... vegetarian or not... they have food options all will enjoy or at least give it a shot you will be surprised how good it is. :) Oh and yes they do have beer, wine and some cocktail options.",Restaurants
2929,Byblos Restaurant,29.923299,-90.087423,16.5,"Had a lovely dinner there the other night - just sat at the bar and ordered grilled salmon with tabouli and baba ganoush. The staff were really friendly and welcoming. When my food came I was amazed. The salmon was crispy on the outside and tender and lemony inside, with just the perfect spice. The tabouli was perfect - refreshing, minty, lemony. The baba ganoush was excellent. I literally cleaned my plate and had to stop myself from licking it. I'll be back to try the rest of the menu.",Restaurants
3364,Bonci Pizzeria,29.945914000000002,-90.0725719,17.0,"This is 5 star pizza spot. For sure. The pizza I had was excellent. Soprasetta, ricotta, and potato was amazing. I'd pay double for the meatball.   My only issue is the scissors. Each pizza should get its own scissors and can we please PLEASE get decent kitchen shears? The yellow handled school scissors gotta go!!",Restaurants
1873,Central City BBQ,29.943835200000002,-90.0786357,18.0,"Where do I start. This is the VERY BEST BBQ I have EVER HAD. Had the two meat platter (Chicken and Brisket Burnt Ends). The meat was amazing . And the sides (beans and Fresh Cut Fries) were amazing as well.   As my friend said ""the bar has been set so very high now"". Will come back every time I'm in town.",Restaurants
1797,Bath & Body Works,29.9620195,-90.1876915,19.0,"Because I'm a weirdo, I popped into this Bath and Body works to check out the same sale that I just checked out at my other local Bath and Body works. Today's mission was: candles.  So, twice a year Bath and Body works has a major sale. They have one sale in the beginning of June and another right after Christmas. This is when I really stock up on my Bath and Body works goodies. I mean, when you can get a $14 body spray for $4, you make a point of planning your bath goods shopping around these sales. I already hauled some major finds from the Oakwood location, so I stopped in here to check out the candle selection. Um...three wick candles for $12?? Yes, please. This is the time of year that I stock up on stuff to give people for Christmas and birthdays. They had all season candles on sale, so I was sure to get a bunch and heads up pumpkin lovers: pumpkin scented everything is priced to move and fall is right around the corner.  A super helpful sales girl, who just happens to have my same name (minus one 'le'), was good about pointing me in the right direction of where I could find the best deals. I like that this store isn't stuck in the middle of a mall and it's easy in and out.",Shopping
955,Big Mouth Po-Boys,29.9262832,-90.0253903,16.0,"Stopped by for the first. Not sure what happened with the other posts but we had a different experience. We ordered shrimp and fish. Both of them had a good, seasoned batter. The shrimp especially tasted fresh. We also got the hot sausage poboy. They use Patton's hot sausage and doubled the patties at least for the full poboy.   The way they set up their prices it's better to get the bigger version of everything including daqs. They only had 4 flavors of daqs but they also have liquor behind the counter.   Overall we'd come again.",Restaurants
943,Town and Country Bridal,29.9385703,-90.0753793,16.0,"My experience at Town and Country was top notch. Alison was a fabulous help and truly made the day wonderful. I gave her my budget, which was honestly very low for the shop and she didn't pick a single dress that surpassed it. She had fabulous taste and never made me feel pressured or rushed.  For the people saying ""this shop is so expensive"" yes it is. But it is a boutique Bridal shop so what is anyone expecting. The dresses are above and beyond--just gorgeous-- and the fitting room and runway are great. I was in the smaller room in the back where we got to pull the curtain for the big 'reveal.' So fun!    I wound up finding a dress at another store that fit my VERY relaxed wedding setting (I'm getting married at a BBQ restaurant) but I truly owe Alison for helping me find the style of dress that I actually wanted. I have attached a picture that I think shows the personality and pure positivity that Alison brings to the room with her clients. I highly recommend this shop, go for the dresses and stay for the staff.",Shopping
